2021-09-29 15:38:41.873 INFO  BaseTest:55 - Product Selected:
2021-09-29 15:38:42.999 INFO  BaseTest:67 - Price on Product Detail Page: 15.169
2021-09-29 15:46:23.735 INFO  BaseTest:61 - Product Selected.
2021-09-29 15:46:24.852 INFO  BaseTest:73 - Price on Product Detail Page: 2.584
2021-09-29 15:47:21.350 INFO  BaseTest:61 - Product Selected.
2021-09-29 15:52:52.419 INFO  BaseTest:64 - Product Selected.
2021-09-29 15:53:53.187 INFO  BaseTest:64 - Product Selected.
2021-09-29 15:53:54.313 INFO  BaseTest:76 - Price on Product Detail Page: 3.064
2021-09-29 16:21:28.050 INFO  BaseClass:80 - By.cssSelector: input[name='k']The page was expected to be clickable and clicked.
2021-09-29 16:21:30.835 INFO  BaseClass:73 - By.xpath: //*[@id="main-header"]/div[3]/div/div/div/div[2]/form/div/div[2]/button 
2021-09-29 16:21:32.568 INFO  BaseClass:73 - By.cssSelector: a[class='sc-12aj18f-1 ubwpe'] 
2021-09-29 16:21:32.568 INFO  BaseClass:62 - Second Page Access Controlled.(https://www.gittigidiyor.com/arama/?k=Bilgisayar&sf=2
2021-09-29 16:21:32.582 INFO  BaseTest:57 - Product count in page : 0
2021-09-29 16:21:45.630 INFO  BaseClass:80 - By.cssSelector: input[name='k']The page was expected to be clickable and clicked.
2021-09-29 16:21:48.952 INFO  BaseClass:73 - By.xpath: //*[@id="main-header"]/div[3]/div/div/div/div[2]/form/div/div[2]/button 
2021-09-29 16:21:50.698 INFO  BaseClass:73 - By.cssSelector: a[class='sc-12aj18f-1 ubwpe'] 
2021-09-29 16:21:50.698 INFO  BaseClass:62 - Second Page Access Controlled.(https://www.gittigidiyor.com/arama/?k=Bilgisayar&sf=2
2021-09-29 16:21:50.713 INFO  BaseTest:57 - Product count in page : 0
2021-09-29 16:22:08.143 INFO  BaseClass:80 - By.cssSelector: input[name='k']The page was expected to be clickable and clicked.
2021-09-29 16:22:10.131 INFO  BaseClass:73 - By.xpath: //*[@id="main-header"]/div[3]/div/div/div/div[2]/form/div/div[2]/button 
2021-09-29 16:22:27.183 INFO  BaseClass:80 - By.cssSelector: input[name='k']The page was expected to be clickable and clicked.
2021-09-29 16:22:30.385 INFO  BaseClass:73 - By.xpath: //*[@id="main-header"]/div[3]/div/div/div/div[2]/form/div/div[2]/button 
2021-09-29 16:22:32.592 INFO  BaseClass:73 - By.cssSelector: a[class='sc-12aj18f-1 ubwpe'] 
